,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,tokens,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,change_type,Revision,datetime
20,CodeBlock46,48,55,ConsoleInterface.java,"['    public PrintStream getOut();', '    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 5, 'TOKEN_VARIABLE': 8, 'getOut': 1, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock47,ConsoleInterface.java,0.8571428571428571,1.0,1.0,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
21,CodeBlock46,48,55,ConsoleInterface.java,"['    public PrintStream getOut();', '    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 5, 'TOKEN_VARIABLE': 8, 'getOut': 1, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock48,ConsoleInterface.java,0.7142857142857143,1.0,0.6666666666666666,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
22,CodeBlock47,49,55,ConsoleInterface.java,"['    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 4, 'TOKEN_VARIABLE': 7, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock45,ConsoleInterface.java,0.75,0.6666666666666666,0.75,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
23,CodeBlock47,49,55,ConsoleInterface.java,"['    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 4, 'TOKEN_VARIABLE': 7, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock46,ConsoleInterface.java,0.8571428571428571,1.0,1.0,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
24,CodeBlock47,49,55,ConsoleInterface.java,"['    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 4, 'TOKEN_VARIABLE': 7, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock48,ConsoleInterface.java,0.8333333333333334,1.0,0.6666666666666666,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
25,CodeBlock48,50,55,ConsoleInterface.java,"['    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 3, 'void': 3, 'println': 1, 'TOKEN_VARIABLE': 6, 'print': 1, 'error': 1}",CodeBlock46,ConsoleInterface.java,0.7142857142857143,1.0,0.6666666666666666,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
26,CodeBlock48,50,55,ConsoleInterface.java,"['    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 3, 'void': 3, 'println': 1, 'TOKEN_VARIABLE': 6, 'print': 1, 'error': 1}",CodeBlock47,ConsoleInterface.java,0.8333333333333334,1.0,0.6666666666666666,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
27,CodeBlock50,51,63,NameSource.java,"['    public String [] getAllNames();', '    public void addNameSourceListener( NameSource.Listener listener );', '', '    public static interface Listener {', '        public void nameSourceChanged( NameSource src );', '        ', '', '', '', '', '', '', '    }']","{'public': 4, 'String': 1, 'getAllNames': 1, 'void': 2, 'addNameSourceListener': 1, 'TOKEN_VARIABLE': 5, 'static': 1, 'interface': 1, 'nameSourceChanged': 1}",CodeBlock51,NameSource.java,0.8235294117647058,1.0,1.0,9,ModificationType.ADD,1,2022-10-18 01:15:38.148139
28,CodeBlock51,52,63,NameSource.java,"['    public void addNameSourceListener( NameSource.Listener listener );', '', '    public static interface Listener {', '        public void nameSourceChanged( NameSource src );', '        ', '', '', '', '', '', '', '    }']","{'public': 3, 'void': 2, 'addNameSourceListener': 1, 'TOKEN_VARIABLE': 5, 'static': 1, 'interface': 1, 'nameSourceChanged': 1}",CodeBlock50,NameSource.java,0.8235294117647058,1.0,1.0,9,ModificationType.ADD,1,2022-10-18 01:15:38.148139
29,CodeBlock53,50,83,Node.java,"['public void jjtOpen();', '', '', '', '', '', 'public void jjtClose();', '', '', '', '', '', 'public void jjtSetParent(Node n);', 'public Node jjtGetParent();', '', '', '', '', '', 'public void jjtAddChild(Node n, int i);', '', '', '', '', '', 'public Node jjtGetChild(int i);', '', '', '', '', 'public int jjtGetNumChildren();', '}', '', '']","{'public': 7, 'void': 4, 'jjtOpen': 1, 'jjtClose': 1, 'jjtSetParent': 1, 'TOKEN_VARIABLE': 8, 'jjtGetParent': 1, 'jjtAddChild': 1, 'int': 3, 'jjtGetChild': 1, 'jjtGetNumChildren': 1}",CodeBlock54,Node.java,0.896551724137931,1.0,1.0,11,ModificationType.ADD,1,2022-10-18 01:15:38.148139
30,CodeBlock53,50,83,Node.java,"['public void jjtOpen();', '', '', '', '', '', 'public void jjtClose();', '', '', '', '', '', 'public void jjtSetParent(Node n);', 'public Node jjtGetParent();', '', '', '', '', '', 'public void jjtAddChild(Node n, int i);', '', '', '', '', '', 'public Node jjtGetChild(int i);', '', '', '', '', 'public int jjtGetNumChildren();', '}', '', '']","{'public': 7, 'void': 4, 'jjtOpen': 1, 'jjtClose': 1, 'jjtSetParent': 1, 'TOKEN_VARIABLE': 8, 'jjtGetParent': 1, 'jjtAddChild': 1, 'int': 3, 'jjtGetChild': 1, 'jjtGetNumChildren': 1}",CodeBlock55,Node.java,0.7931034482758621,1.0,0.75,11,ModificationType.ADD,1,2022-10-18 01:15:38.148139
31,CodeBlock54,56,83,Node.java,"['public void jjtClose();', '', '', '', '', '', 'public void jjtSetParent(Node n);', 'public Node jjtGetParent();', '', '', '', '', '', 'public void jjtAddChild(Node n, int i);', '', '', '', '', '', 'public Node jjtGetChild(int i);', '', '', '', '', 'public int jjtGetNumChildren();', '}', '', '']","{'public': 6, 'void': 3, 'jjtClose': 1, 'jjtSetParent': 1, 'TOKEN_VARIABLE': 8, 'jjtGetParent': 1, 'jjtAddChild': 1, 'int': 3, 'jjtGetChild': 1, 'jjtGetNumChildren': 1}",CodeBlock53,Node.java,0.896551724137931,1.0,1.0,11,ModificationType.ADD,1,2022-10-18 01:15:38.148139
