,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,Revision,datetime
731,CodeBlock4582,717,721,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\TextAreaPainter.java,"['\tpublic void addExtension(int layer, TextAreaExtension extension)', '\t{', '\t\textensionMgr.addExtension(layer,extension);', '\t\trepaint();', '\t} ']",CodeBlock4181,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\Gutter.java,1.0,1.0,1.0,4,1,2022-09-15 15:53:54.347490
732,CodeBlock4583,730,734,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\TextAreaPainter.java,"['\tpublic void removeExtension(TextAreaExtension extension)', '\t{', '\t\textensionMgr.removeExtension(extension);', '\t\trepaint();', '\t} ']",CodeBlock4182,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\Gutter.java,1.0,1.0,1.0,4,1,2022-09-15 15:53:54.347490
733,CodeBlock4584,753,759,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\TextAreaPainter.java,"['\tpublic String getToolTipText(MouseEvent evt)', '\t{', '\t\tif(textArea.getBuffer().isLoading())', '\t\t\treturn null;', '', '\t\treturn extensionMgr.getToolTipText(evt.getX(),evt.getY());', '\t} ']",CodeBlock4183,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\Gutter.java,1.0,1.0,1.0,4,1,2022-09-15 15:53:54.347490
734,CodeBlock4588,924,928,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\textarea\TextAreaPainter.java,"['\tpublic float nextTabStop(float x, int tabOffset)', '\t{', '\t\tint ntabs = (int)(x / textArea.tabSize);', '\t\treturn (ntabs + 1) * textArea.tabSize;', '\t} ']",CodeBlock3721,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\print\BufferPrintable.java,0.85,1.0,1.0,4,1,2022-09-15 15:53:54.347490
735,CodeBlock4626,200,213,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\util\IOUtilities.java,"['\tpublic void closeQuietly(@Nullable ObjectInput in)', '\t{', '\t\tif (in != null)', '\t\t{', '\t\t\ttry', '\t\t\t{', '\t\t\t\tin.close();', '\t\t\t}', '\t\t\tcatch (IOException e)', '\t\t\t{', '\t\t\t\t', '\t\t}', '\t\t}', '\t}']",CodeBlock4627,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\util\IOUtilities.java,1.0,1.0,1.0,4,1,2022-09-15 15:53:54.347490
736,CodeBlock4627,221,234,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\util\IOUtilities.java,"['\tpublic void closeQuietly(@Nullable ObjectOutput out)', '\t{', '\t\tif (out != null)', '\t\t{', '\t\t\ttry', '\t\t\t{', '\t\t\t\tout.close();', '\t\t\t}', '\t\t\tcatch (IOException e)', '\t\t\t{', '\t\t\t\t', '\t\t\t}', '\t\t}', '\t} ']",CodeBlock4626,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\util\IOUtilities.java,1.0,1.0,1.0,4,1,2022-09-15 15:53:54.347490
737,CodeBlock4643,536,542,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\util\Log.java,"['\t\tpublic int getSize()', '\t\t{', '\t\t\tif(wrap)', '\t\t\t\treturn MAXLINES;', '\t\t\telse { ', '\t\t\t\treturn logLineCount; } ', '\t\t} ']",CodeBlock2068,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\buffer\KillRing.java,1.0,1.0,1.0,4,1,2022-09-15 15:53:54.347490
738,CodeBlock4693,178,183,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\util\SyntaxUtilities.java,"['\tpublic static SyntaxStyle parseStyle(String str, String family, int size,', '\t\tboolean color)', '\t\tthrows IllegalArgumentException', '\t{', '\t\treturn parseStyle(str, family, size, color, Color.black);', '\t} ']",CodeBlock528,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\gjt\sp\jedit\GUIUtilities.java,0.8571428571428571,0.8333333333333334,1.0,4,1,2022-09-15 15:53:54.347490
739,CodeBlock4739,152,157,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\jedit\io\Native2ASCIIEncoding.java,"['\tReader getTextReader(@Nonnull InputStream in, @Nullable Class<? extends PushbackReader> clazz)', '\t\tthrows IOException, InvocationTargetException, NoSuchMethodException, InstantiationException,', '\t\t       IllegalAccessException', '\t{', '\t\treturn new Native2ASCIIReader(in, false, clazz);', '\t}']",CodeBlock4740,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\jedit\io\Native2ASCIIEncoding.java,0.9130434782608695,1.0,1.0,4,1,2022-09-15 15:53:54.347490
740,CodeBlock4740,160,165,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\jedit\io\Native2ASCIIEncoding.java,"['\tReader getPermissiveTextReader(@Nonnull InputStream in, @Nullable Class<? extends PushbackReader> clazz)', '\t\tthrows IOException, InvocationTargetException, NoSuchMethodException, InstantiationException,', '\t\t       IllegalAccessException', '\t{', '\t\treturn new Native2ASCIIReader(in, true, clazz);', '\t}']",CodeBlock4739,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\org\jedit\io\Native2ASCIIEncoding.java,0.9130434782608695,1.0,1.0,4,1,2022-09-15 15:53:54.347490
