,commitinfo,codeBlockId,unique,Revision,clonesets,codeBlock_start,codeBlock_end,nloc,codeBlock_fileinfo,codeCloneBlockId,change_type,codeBlock_start_diffs,codeBlock_end_diff,nloc_diff,status,disappearing_clone_diffs
150,b5a523f87afca3491f9137bc775277ef96cba982,345,R1CodeBlock345,1,33,1302,1315,1444,Native2ASCIIEncodingTest.java,CodeBlock347,ModificationType.ADD,,new,new,new,disappearing_clone
149,b5a523f87afca3491f9137bc775277ef96cba982,342,R1CodeBlock342,1,33,1262,1270,1444,Native2ASCIIEncodingTest.java,CodeBlock306,ModificationType.ADD,,new,new,new,disappearing_clone
148,b5a523f87afca3491f9137bc775277ef96cba982,341,R1CodeBlock341,1,66,1248,1259,1444,Native2ASCIIEncodingTest.java,CodeBlock340,ModificationType.ADD,,new,new,new,disappearing_clone
147,b5a523f87afca3491f9137bc775277ef96cba982,340,R1CodeBlock340,1,38,1233,1245,1444,Native2ASCIIEncodingTest.java,CodeBlock341,ModificationType.ADD,,new,new,new,disappearing_clone
129,b5a523f87afca3491f9137bc775277ef96cba982,317,R1CodeBlock317,1,6,798,805,1444,Native2ASCIIEncodingTest.java,CodeBlock325,ModificationType.ADD,,new,new,new,disappearing_clone
130,b5a523f87afca3491f9137bc775277ef96cba982,318,R1CodeBlock318,1,33,808,827,1444,Native2ASCIIEncodingTest.java,CodeBlock307,ModificationType.ADD,,new,new,new,disappearing_clone
131,b5a523f87afca3491f9137bc775277ef96cba982,319,R1CodeBlock319,1,32,830,842,1444,Native2ASCIIEncodingTest.java,CodeBlock320,ModificationType.ADD,,new,new,new,disappearing_clone
132,b5a523f87afca3491f9137bc775277ef96cba982,320,R1CodeBlock320,1,32,845,857,1444,Native2ASCIIEncodingTest.java,CodeBlock319,ModificationType.ADD,,new,new,new,disappearing_clone
133,b5a523f87afca3491f9137bc775277ef96cba982,321,R1CodeBlock321,1,38,860,869,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
134,b5a523f87afca3491f9137bc775277ef96cba982,323,R1CodeBlock323,1,30,886,894,1444,Native2ASCIIEncodingTest.java,CodeBlock324,ModificationType.ADD,,new,new,new,disappearing_clone
135,b5a523f87afca3491f9137bc775277ef96cba982,324,R1CodeBlock324,1,30,897,905,1444,Native2ASCIIEncodingTest.java,CodeBlock323,ModificationType.ADD,,new,new,new,disappearing_clone
136,b5a523f87afca3491f9137bc775277ef96cba982,325,R1CodeBlock325,1,60,908,916,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
86,b5a523f87afca3491f9137bc775277ef96cba982,268,R1CodeBlock268,1,21,98,103,1444,Native2ASCIIEncodingTest.java,CodeBlock269,ModificationType.ADD,,new,new,new,disappearing_clone
137,b5a523f87afca3491f9137bc775277ef96cba982,328,R1CodeBlock328,1,32,977,991,1444,Native2ASCIIEncodingTest.java,CodeBlock329,ModificationType.ADD,,new,new,new,disappearing_clone
139,b5a523f87afca3491f9137bc775277ef96cba982,330,R1CodeBlock330,1,38,1011,1020,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
140,b5a523f87afca3491f9137bc775277ef96cba982,331,R1CodeBlock331,1,33,1023,1040,1444,Native2ASCIIEncodingTest.java,CodeBlock311,ModificationType.ADD,,new,new,new,disappearing_clone
141,b5a523f87afca3491f9137bc775277ef96cba982,332,R1CodeBlock332,1,32,1043,1054,1444,Native2ASCIIEncodingTest.java,CodeBlock333,ModificationType.ADD,,new,new,new,disappearing_clone
142,b5a523f87afca3491f9137bc775277ef96cba982,333,R1CodeBlock333,1,32,1057,1069,1444,Native2ASCIIEncodingTest.java,CodeBlock332,ModificationType.ADD,,new,new,new,disappearing_clone
143,b5a523f87afca3491f9137bc775277ef96cba982,334,R1CodeBlock334,1,38,1072,1081,1444,Native2ASCIIEncodingTest.java,CodeBlock338,ModificationType.ADD,,new,new,new,disappearing_clone
144,b5a523f87afca3491f9137bc775277ef96cba982,336,R1CodeBlock336,1,32,1128,1151,1444,Native2ASCIIEncodingTest.java,CodeBlock337,ModificationType.ADD,,new,new,new,disappearing_clone
145,b5a523f87afca3491f9137bc775277ef96cba982,337,R1CodeBlock337,1,32,1154,1178,1444,Native2ASCIIEncodingTest.java,CodeBlock336,ModificationType.ADD,,new,new,new,disappearing_clone
146,b5a523f87afca3491f9137bc775277ef96cba982,338,R1CodeBlock338,1,38,1181,1190,1444,Native2ASCIIEncodingTest.java,CodeBlock334,ModificationType.ADD,,new,new,new,disappearing_clone
138,b5a523f87afca3491f9137bc775277ef96cba982,329,R1CodeBlock329,1,32,994,1008,1444,Native2ASCIIEncodingTest.java,CodeBlock328,ModificationType.ADD,,new,new,new,disappearing_clone
85,b5a523f87afca3491f9137bc775277ef96cba982,267,R1CodeBlock267,1,7,89,96,1444,Native2ASCIIEncodingTest.java,CodeBlock269,ModificationType.ADD,,new,new,new,disappearing_clone
84,b5a523f87afca3491f9137bc775277ef96cba982,266,R1CodeBlock266,1,21,82,87,1444,Native2ASCIIEncodingTest.java,CodeBlock268,ModificationType.ADD,,new,new,new,disappearing_clone
83,b5a523f87afca3491f9137bc775277ef96cba982,260,R1CodeBlock260,1,4,68,90,21,KeymapManager.java,CodeBlock259,ModificationType.ADD,,new,new,new,disappearing_clone
23,b5a523f87afca3491f9137bc775277ef96cba982,71,R1CodeBlock71,1,20,749,790,2099,ParserTokenManager.java,CodeBlock73,ModificationType.ADD,,new,new,new,disappearing_clone
24,b5a523f87afca3491f9137bc775277ef96cba982,72,R1CodeBlock72,1,19,791,830,2099,ParserTokenManager.java,CodeBlock73,ModificationType.ADD,,new,new,new,disappearing_clone
25,b5a523f87afca3491f9137bc775277ef96cba982,73,R1CodeBlock73,1,19,831,868,2099,ParserTokenManager.java,CodeBlock74,ModificationType.ADD,,new,new,new,disappearing_clone
26,b5a523f87afca3491f9137bc775277ef96cba982,74,R1CodeBlock74,1,19,869,905,2099,ParserTokenManager.java,CodeBlock73,ModificationType.ADD,,new,new,new,disappearing_clone
